id,showname
1,"KNIGHT, WILLIAM J. \PETE\"""""
2,Adam Shbeita
3,"HILL, JERRY A."
4,"ACOSTA, GEORGIA L."
5,"GUILLEN, ABEL"
6,Mario A. Guerra
7,"STOKER, MIKE"
8,"PARRA, PETE H."
9,"RUNNER, GEORGE C."
10,Michael Breyer
11,"COLEMAN, TERRY"
12,"HILL, STEVE"
13,"KISHIMOTO, YORIKO"
14,"JONES, SUZANNE V."
15,"HANSON, MARK"
16,Alvaro G. Day
17,Earl De Vries
18,Michelle P. Connor
19,Brian Jones
20,"KALB, DAN E."
21,"YAMADA, MARIKO"
22,"MANSOOR, ALLAN R."
23,Jerry White
24,"WHITE, KEN"
25,"SIMON JR., WILLIAM E."
26,Ronald Gold
27,John S. Stammreich
28,Donald P. (Don) Wagner*
29,Jose Medina*
30,"GARDNER, DEAN"
31,"PRICE, CURREN"
32,Edward Fuller
33,"ARABO, AUDAY P."
34,Michael J. Rubio
35,"MARTINEZ, MICHELE"
36,Brian Dahle
37,"STEEL, JOHN"
38,"KING, DAVID"
39,Devin G. Nunes
40,"FITZGERALD, JIM"
41,Xavier Becerra*
42,"ROELLE, RICK"
43,"HAUBERT, DAVID"
44,Sukhee Kang
45,"ASHBURN, ROY"
46,"GARLAND, CHRIS"
47,Pete Aguilar
48,"WALTERS, MIMI"
49,"SHOEMAKER, BRANDON"
50,"MUSSER-LOPEZ, RUTH"
51,"BACA, JOE"
52,"GONZALES, JUAN LUIS"
53,"LA CHANCE, IRENE"
54,"MC CANN, JOHN"
55,Holly Spohn-Gross
56,"HARRISON, MICHAEL"
57,"TORRICO, ALBERTO"
58,Tom Lackey
59,"AMADOR, ANTONIO (TONY)"
60,Michael D. Antonovich
61,"TYE, STEVE"
62,David Sanchez
63,"HERNANDEZ, ROGER"
64,Jeff Denham*
65,Mary Catherine McIlroy
66,"BONTA, ROB"
67,Robin Chew
68,"DIEP, TYLER"
69,"CARTER, WILMER AMINA"
70,"MORRIS, GWEN L"
71,"WEST, TONY"
72,Alex Padilla*
73,"LOWE, DONNA"
74,"SHELLEY, KEVIN"
75,Cheryl R. Brown*
76,"PAULY, DEBORAH"
77,"CHAVEZ, CHRISTINA"
78,Virginia Fuller
79,Karalee Hargrove
80,"TABASH, EDWARD Z."
81,"CORBETT, ELLEN"
82,Honor Mimi Robson
83,Nathaniel Tsai
84,"HORTON, JEROME"
85,Mike Hudson
86,"PARKER, CHRIS R."
87,"BLUMENFELD, ANDREW"
88,"SALARNO, NINA"
89,"SMITH, KATHERINE H."
90,"DAVIS, MICHAEL"
91,"BROWN, DAVE"
92,"SANDOVAL, GREG"
93,Tony Teora
94,"NEWMAN, JOSH B."
95,"NASARENKO, ERIK"
96,"NGUYEN, PHU"
97,"FURUTANI, WARREN"
98,Patrick J. Hurley
99,Sherry Hodges
100,Paul Clay
101,"SHER, BYRON"
102,"HALDERMAN, LINDA F."
103,Adam J. Miller
104,"GRAYSON, ARI E."
105,"WORTHINGTON, KRISS"
106,"WILLIAMS, ROBERT"
107,"MAYER, VIRGINIA GINNY"
108,"PARRISH, CLAUDE"
109,"MATHYS, CHRIS"
110,"LOW, EVAN"
111,"RUSSELL, JAMES A."
112,"BARNES, JANET V."
113,"OROZCO, MARK"
114,"RILEY, ANTHONY"
115,"MASIEL, ANDREW"
116,"PHARES, ANN VENTURA"
117,John Hernandez
118,"COOK-KALLIO, CHERYL"
119,Maxine Waters
120,Larry Johnson
121,Reggie Jones-Sawyer
122,"LARA, RICARDO"
123,"RIVAS, ROBERT"
124,Shawn Hoffman
125,Carlos Santamaria
126,"BILBREY, MICHAEL"
127,"WALCH, COLIN"
128,"FROMMER, DARIO"
129,Mark Stone*
130,"BERG, PATTY"
131,Jim Silva*
132,Cathleen Galgiani*
133,Gil Cedillo
134,"SHAW, ELAINE D."
135,"SMITH, CHRISTY"
136,Ken Park
137,"STIRLING, LARRY"
138,Freddie Rodriguez
139,"CERVANTEZ ALEJO, KARINA"
140,"GARRICK, MARTIN W."
141,Sandré R. Swanson*
142,"HANLEY, KEVIN J."
143,Damon Dunn
144,James H. Kimber
145,"KASHKARI, NEEL"
146,"MARGETT, ROBERT"
147,"ARANDA, RUDY"
148,Tim Gorsulowsky
149,"SILVA , JAMES W."
150,"CONTI, DIANA"
151,William O'Callaghan Leader
152,"RAMANI, SUNDER"
153,"MILLER, JEFF"
154,"Isadore Hall, III"
155,Jim Wood
156,"ONG, JENNIFER H."
157,Colin Patrick Walch
158,"BLAKE, GORDON"
159,"WESTWOOD, MARK DAVID"
160,"DAVENPORT, ROBERT"
161,"PETERSON-MORE, DIANA L."
162,"BRIGGS, MIKE"
163,Gladys O. Miller
164,Carl DeMaio
165,"JELINCIC JR., JOSEPH JOHN"
166,Paul Cook*
167,"Edmund G. ""Jerry"" Brown*"
168,Bob Brunton
169,"TAYLOR, CARLOS"
170,"WAKIM, SAM"
171,Jean Fuller*
172,"LEVINE, MARC"
173,"HORNE, SUE"
174,"FLAHERMAN, MICHAEL T."
175,"LUTNESS, CAROLE L."
176,Cristina Garcia*
177,"LIN, MATTHEW"
178,Jared Huffman
179,Alex Henthorn
180,Angela Rupert
181,"MACCARLEY, MARK"
182,"RISHOFF, LOUISE C."
183,Richard Pan*
184,"CALDERON, RONALD"
185,"POLAKOFF, PHILLIP LEE"
186,Chris Mitchum
187,Michael J. Esswein
188,Mitt Romney
189,"CABALDON, CHRISTOPHER"
190,James (JD) Bennett
191,"MC QUISTON, JON A."
192,"SOTO, DANIELLE"
193,Norma J. Torres
194,"ADAMS, ANTHONY"
195,"CRETTOL, JIM"
196,Raul Bocanegra*
197,"OLIVIER, ART"
198,"MACIAS, MICHAEL R."
199,"SANFORD, THERESA"
200,"COHELAN, TIMOTHY"
201,"BARKAN, ELLIOTT ROBERT"
202,"CORREA, LOU"
203,"ARMENTA, DAVID"
204,"CIARDELLA, RICHARD"
205,"HOUSTON, GUY"
206,"BOSWELL, JOSEPH JOHN"
207,"MOORS, RAYMOND KENNETH"
208,"BRIBIESCA , JUAN M."
209,"BLOISE, NICK E."
210,"GOMEZ, JIMMY"
211,"VALENTINE, ROBERT S."
212,"MEGAW, JAMES"
213,Greg Krikorian
214,Peter Kuo
215,Andy Whallon
216,Sierra Roberts
217,"FIGUEROA, LIZ"
218,Blanca E. Rubio
219,"DAVIS, PATTY"
220,"HILL, GREGORY CHARLES"
221,Jay Chen
222,"LARA-GARDNER, JOSEPH"
223,"WILSON, MICHAEL L."
224,"YOUNG, STEVEN R."
225,Arturo Enrique Alas
226,"MUNSON, MATTHEW G."
227,"TAMOM, VANNARITH THOMAS"
228,"PADERES, XOCHITL"
229,Leo Hamel
230,"PARK STEEL, MICHELLE"
231,"TURNER, EDWARD R."
232,Mike Maturen
233,"MICHAEL, WILSON"
234,Reginald Byron Jones-Sawyer
235,Luis Alejo*
236,"CONWAY, CONNIE"
237,Lathe Gill
238,"NEHRING, RON"
239,"SHELDON, SAM"
240,"WHALEN, ROBERT"
241,John Garamendi
242,"SANDERS, JOANNE B."
243,"WISSOT, MICHAEL J."
244,"WASHINGTON, PATRICIA A."
245,"FLORA, HEATH"
246,"GROPER, RICHARD"
247,"CANNELLA, ANTHONY"
248,"DAVIS, GRAY"
249,"STASEK, ROSEMARY VERONICA"
250,"KOPPULA, PATRICK R"
251,Ed Hernandez*
252,Todd Gloria
253,"LINDBLAD, JOHN P. (JACK)"
254,Janice Hahn
255,"IRLANDO, ANDRES"
256,"BLOOM, RICHARD"
257,Bill Batey
258,Kevin McCarty
259,Jim Frazier*
260,Madison Nguyen
261,"CHU, KANSEN"
262,Adam Nick
263,"AGHAZARIAN, GREG"
264,Clint Curtis
265,Greg Conlon
266,"GALLAGHER, JAMES"
267,Stephen Meade
268,Cory Ellenson
269,"UMBERG, TOM"
270,"MARSHALL, G. RICK"
271,"CURTIS, DAVID S."
272,"SPEIER, JACKIE"
273,Jenny Oropeza*
274,Warren P. Willis
275,Eric F. Linder
276,"GRAY, ADAM C."
277,"HERRERA, ESAU"
278,Al Phillips
279,"STEVENS, GEORGE"
280,"DO, CONG THANH"
281,Chad Mayes
282,"COHEN, MALIA M."
283,"DYE, DOUGLAS"
284,"PIROZZI, ELIA V."
285,"JAWAHAR, C J"
286,James Corbett
287,"PETRUZZO, STEPHEN M."
288,Bonnie Garcia
289,"YEE, LELAND Y."
290,"FRIEDMAN, LAURA"
291,"CARROLL, DAMIAN"
292,Zachary Taylor
293,"CHABOT, PAUL"
294,"RIVAS, LUZ"
295,"QUINTO, RAY R."
296,"HENTSCHEL, NOEL IRWIN"
297,"RUBIN, CHRISTINE"
298,"LEYES, MAK"
299,Rich Gordon
300,"HERNANDEZ, EDWARD P."
301,"ALI, MICAH"
302,"GAINES, BETH"
303,"FUENTES, YOLANDA"
304,Jack Mobley
305,Todd Zink
306,"SCHAUPP, CHARLES E."
307,Brad Sherman*
308,"RENDON, ANTHONY"
309,"NICKEL, WILEY"
310,Nanette Diaz Barragán
311,"DODD, BILL"
312,"VALADAO, DAVID G."
313,James E. Theis
314,"YEE, GARRETT S."
315,Kristin Olsen*
316,Rob Walter
317,Patty Lopez
318,"JOHANNESSEN, K. MAURICE,"
319,"WILDER, DEBORAH"
320,"JENKINS, STEW"
321,"JACKSON, MICHAEL A."
322,"KNELL, DEREK P"
323,Susan Bonilla
324,"COHELAN, TIMOTHY DOUGLAS"
325,"MC CAULLEY, OLLIE M."
326,"CANCIAMILLA, LAURA"
327,"MADUENO, VIRGINIA"
328,Kenny Coble
329,"SHERARD, MAXINE J."
330,"GAINES, EDWARD"
331,Mark Leno*
332,"Roderick ""Rod"" Wright*"
333,"VARGAS, JUAN C"
334,"BACA JR. JR., JOE"
335,Bill Lockyer*
336,Scott Wiener
337,"HART, GREGG"
338,"TOPALIAN, RITA"
339,"STEEL, MICHELLE"
340,Al Muratsuchi
341,"CHANG, BARRY"
342,"GRAYSON, TIM"
343,"ARELLANO, CHRISTOPHER"
344,"MENDOZA, GARY S."
345,Jack Orswell
346,"JANG, KEVIN H."
347,"LEYVA, CONNIE"
348,"STONE, JEFFREY E."
349,Bao Nguyen
350,"KATZ, ANDY"
351,"WATSON, GUADALUPE R."
352,"WESSON, JR., HERMAN J."
353,"CENTER, BRIAN"
354,"DE YOUNG, DENNIS"
355,"GRANLUND, BRETT"
356,"CLARK, JASON P."
357,Sharon Quirk-Silva
358,"BRULTE, JAMES L."
359,Jim Judd
360,Amanda Renteria
361,"LUJAN, LOUIE A."
362,"CONNOLLY, DAMON M."
363,"SANSCHAGRIN, MARC"
364,"CERVANTES, SABRINA"
365,Wayne Miller
366,Melinda K. Vásquez
367,Esiquio Ramos Uballe
368,"OLLER, THOMAS"
369,"MONVILLE III, LOUIS G."
370,"ALLEN, DEBORA"
371,"KELLY, CHRIS"
372,"JOHNSON SR., NORMAN"
373,"VERES, STEVE"
374,Rick Tubbs
375,"MUNN, JOHN R."
376,"BARTON, JOHN H."
377,Morgan Osborne
378,Star Parker
379,Andy Vidak
380,"DUCHENY, DENISE MORENO"
381,"CHRISTIAN, RAKESHKUMAR"
382,Atul Saini
383,"GILMORE, DANNY D."
384,"JENKIN, WILLIAM R."
385,"VENEGAS, ARTURO"
386,"MC CLINTOCK, THOMAS"
387,"STEINBERG, DARRELL"
388,"BOWEN, DEBRA"
389,Grace F. Napolitano
390,"PATTERSON, JIM"
391,James Veltmeyer
392,Charles Rouse
393,"YEE , BETTY T."
394,"RIOS, PEDRO"
395,"LOWENTHAL, BONNIE"
396,Catharine Baker
397,Eugene Ruyle
398,"DEROSE, JANINE"
399,"DEAR, DONALD,"
400,"GALVAN, ISAAC"
401,"HAYNES, RAYMOND N."
402,Richard B. Fox
403,Roger Allen Petersen
